CUSTOMERID,CUSTOMERNAME,EMAIL,CITY,COUNTRY,TERRITORY,CONTACTFIRSTNAME,CONTACTLASTNAME
45,Mini Gifts Distributors Ltd.,erick.ferencz@aol.com,San Rafael,USA,NA,Erick,Ferencz
46,Online Diecast Creations Co.,emerson.bowley@bowley.org,Nashua,USA,NA,Fatima,Saylors
47,Mini Wheels Co.,bmalet@yahoo.com,San Francisco,USA,NA,Jina,Briddick
49,Mini Gifts Distributors Ltd.,lnestle@hotmail.com,San Rafael,USA,NA,Emerson,Bowley
50,Collectables For Less Inc.,sabra@uyetake.org,Brickhaven,USA,NA,Blair,Malet
51,Corporate Gift Ideas Co.,mmastella@mastella.com,San Francisco,USA,NA,Brock,Bolognia
53,Quebec Home Shopping Network,sabra@uyetake.org,Montreal,Canada,NA,Sabra,Uyetake
54,Euro Shopping Channel,mmastella@mastella.com,Madrid,Spain,EMEA,Marjory,Mastella
55,Land of Toys Inc.,lnestle@hotmail.com,NYC,USA,NA,Karl,Klonowski
57,Lyon Souveniers,mmastella@mastella.com,Paris,France,EMEA,Amber,Monarrez
58,Toys4GrownUps.com,lnestle@hotmail.com,Pasadena,USA,NA,Shenika,Seewald
59,Corporate Gift Ideas Co.,sabra@uyetake.org,San Francisco,USA,NA,Delmy,Ahle
60,Technics Stores Inc.,mmastella@mastella.com,Burlingame,USA,NA,Deeanna,Juhas
61,Daedalus Designs Imports,bpugh@aol.com,Lille,France,EMEA,Blondell,Pugh
62,Herkku Gifts,lnestle@hotmail.com,Bergen,Norway,EMEA,Jamal,Vanausdal
63,Mini Wheels Co.,sabra@uyetake.org,San Francisco,USA,NA,Cecily,Hollack
66,Motor Mint Distributors Inc.,sabra@uyetake.org,Philadelphia,USA,NA,Tawna,Buvens
67,Tekni Collectables Inc.,mmastella@mastella.com,Newark,USA,NA,Penney,Weight
68,Gift Depot Inc.,elly_morocco@gmail.com,Bridgewater,USA,NA,Elly,Morocco
69,La Rochelle Gifts,lnestle@hotmail.com,Nantes,France,EMEA,Ilene,Eroman
70,Marta's Replicas Co.,sabra@uyetake.org,Cambridge,USA,NA,Vallie,Mondella
71,Atelier graphique,mmastella@mastella.com,Nantes,France,EMEA,Kallie,Blackwood
72,Mini Classics,lnestle@hotmail.com,White Plains,USA,NA,Johnetta,Abdallah
73,Diecast Classics Inc.,sabra@uyetake.org,Allentown,USA,NA,Bobbye,Rhym
74,Land of Toys Inc.,mmastella@mastella.com,NYC,USA,NA,Micaela,Rhymes
78,FunGiftIdeas.com,mmastella@mastella.com,New Bedford,USA,NA,Delisa,Crupi
79,Auto Canal Petit,lnestle@hotmail.com,Paris,France,EMEA,Viva,Toelkes
80,Euro Shopping Channel,sabra@uyetake.org,Madrid,Spain,EMEA,Elza,Lipke
81,Land of Toys Inc.,mmastella@mastella.com,NYC,USA,NA,Devorah,Chickering
83,Lyon Souveniers,ahoneywell@honeywell.com,Paris,France,EMEA,Arlette,Honeywell
84,Toys4GrownUps.com,dominque.dickerson@dickerson.org,Pasadena,USA,NA,Dominque,Dickerson
85,Corporate Gift Ideas Co.,lnestle@hotmail.com,San Francisco,USA,NA,Lettie,Isenhower
86,Technics Stores Inc.,sabra@uyetake.org,Burlingame,USA,NA,Myra,Munns
87,Daedalus Designs Imports,mmastella@mastella.com,Lille,France,EMEA,Stephaine,Barfield
88,Herkku Gifts,lnestle@hotmail.com,Bergen,Norway,EMEA,Lai,Gato
89,Mini Wheels Co.,sabra@uyetake.org,San Francisco,USA,NA,Stephen,Emigh
92,Vitachrome Inc.,cory.gibes@gmail.com,NYC,USA,NA,Cory,Gibes
93,Tekni Collectables Inc.,lnestle@hotmail.com,Newark,USA,NA,Danica,Bruschke
94,Gift Depot Inc.,sabra@uyetake.org,Bridgewater,USA,NA,Wilda,Giguere
95,La Rochelle Gifts,mmastella@mastella.com,Nantes,France,EMEA,Elvera,Benimadho
96,Marta's Replicas Co.,lnestle@hotmail.com,Cambridge,USA,NA,Carma,Vanheusen
97,Toys of Finland Co.,sabra@uyetake.org,Helsinki,Finland,EMEA,Malinda,Hochard
98,Mini Classics,mmastella@mastella.com,White Plains,USA,NA,Natalie,Fern
99,Diecast Classics Inc.,lisha@centini.org,Allentown,USA,NA,Lisha,Centini
100,Land of Toys Inc.,arlene_klusman@gmail.com,NYC,USA,NA,Arlene,Klusman
